i getaccept E*A dH rho ddH Q
82 1 4.762697937945011e-01 1.935008064268828e-05 1.000000000000000e+00 NA -0.000000000000000e+00
83 1 4.712689363189286e-01 4.918152670718712e-05 1.000000000000000e+00 NA -0.000000000000000e+00
84 1 4.810039883598317e-01 -8.120511416986886e-05 1.000000000000000e+00 NA -0.000000000000000e+00
85 1 4.904864251276868e-01 -5.364333955704126e-05 1.000000000000000e+00 NA -0.000000000000000e+00
86 1 4.735106606507946e-01 1.570658396010671e-04 1.000000000000000e+00 NA -0.000000000000000e+00
87 1 4.756902528760677e-01 -3.339985039119142e-05 1.000000000000000e+00 NA -0.000000000000000e+00
88 1 4.796966185774763e-01 2.323878075749519e-06 1.000000000000000e+00 NA -0.000000000000000e+00
89 1 4.855454819577925e-01 -4.155334219202445e-05 1.000000000000000e+00 NA -0.000000000000000e+00
90 1 4.803188048506531e-01 7.669327462878073e-06 1.000000000000000e+00 NA -0.000000000000000e+00
91 1 4.837790002632719e-01 -3.409904806872532e-05 1.000000000000000e+00 NA -0.000000000000000e+00
92 1 4.837644895316963e-01 -3.619826699186035e-05 1.000000000000000e+00 NA -0.000000000000000e+00
93 1 4.755043073200681e-01 1.705148648696309e-04 1.000000000000000e+00 NA -0.000000000000000e+00
94 1 4.813009482208946e-01 -2.078542116112914e-05 1.000000000000000e+00 NA -0.000000000000000e+00
95 1 4.786462704213446e-01 1.977974790179360e-05 1.000000000000000e+00 NA -0.000000000000000e+00
96 1 4.690636037768003e-01 7.466590689908514e-05 1.000000000000000e+00 NA -0.000000000000000e+00
97 1 4.774355691425792e-01 -3.409493529638041e-05 1.000000000000000e+00 NA -0.000000000000000e+00
98 1 4.768166294582822e-01 -2.375034153345723e-05 1.000000000000000e+00 NA -0.000000000000000e+00
99 1 4.652614559308275e-01 1.471727782282883e-04 1.000000000000000e+00 NA -0.000000000000000e+00
100 1 4.734858150620614e-01 -4.863095642182458e-05 1.000000000000000e+00 NA -0.000000000000000e+00
101 1 4.675474825673108e-01 9.478479126734385e-05 1.000000000000000e+00 NA -0.000000000000000e+00
102 1 4.720725455763941e-01 -2.716222327947548e-05 1.000000000000000e+00 NA -0.000000000000000e+00
103 1 4.716215684782222e-01 -2.202184949684494e-05 1.000000000000000e+00 NA -0.000000000000000e+00
104 1 4.823083842273013e-01 -1.476743906501099e-04 1.000000000000000e+00 NA -0.000000000000000e+00
