i getaccept E*A dH rho ddH Q
130 1 6.968086419313023e-01 -1.054224219387834e-04 1.000000000000000e+00 NA -0.000000000000000e+00
131 1 6.727951109890207e-01 1.371130081224692e-04 1.000000000000000e+00 NA -0.000000000000000e+00
132 1 6.720983212482731e-01 -1.408084244758356e-05 1.000000000000000e+00 NA -0.000000000000000e+00
133 1 6.882823369523413e-01 -7.628073490195675e-05 1.000000000000000e+00 NA -0.000000000000000e+00
134 1 6.842121791076519e-01 2.286302492393588e-05 1.000000000000000e+00 NA -0.000000000000000e+00
135 1 6.887359095127500e-01 -3.706450297613628e-05 1.000000000000000e+00 NA -0.000000000000000e+00
136 1 6.861678707383294e-01 8.767656254349276e-06 1.000000000000000e+00 NA -0.000000000000000e+00
137 1 6.904081615646038e-01 -6.184365929584601e-06 1.000000000000000e+00 NA -0.000000000000000e+00
138 1 6.957150779046773e-01 3.066645672333834e-05 1.000000000000000e+00 NA -0.000000000000000e+00
139 1 6.932888467479957e-01 1.485672896706092e-05 1.000000000000000e+00 NA -0.000000000000000e+00
140 1 6.897344833397236e-01 -4.901470742879610e-05 1.000000000000000e+00 NA -0.000000000000000e+00
141 1 6.947281227574568e-01 -4.213775082462234e-05 1.000000000000000e+00 NA -0.000000000000000e+00
142 1 6.948690907606068e-01 2.766590955616266e-05 1.000000000000000e+00 NA -0.000000000000000e+00
143 1 7.009799483478478e-01 -6.060449686628999e-05 1.000000000000000e+00 NA -0.000000000000000e+00
144 1 6.980595164096425e-01 9.701721637611627e-06 1.000000000000000e+00 NA -0.000000000000000e+00
145 1 6.910138654838729e-01 4.969483256900276e-05 1.000000000000000e+00 NA -0.000000000000000e+00
146 1 6.829570927834996e-01 6.151784668873006e-05 1.000000000000000e+00 NA -0.000000000000000e+00
147 1 6.877174321663306e-01 -5.916416034779104e-05 1.000000000000000e+00 NA -0.000000000000000e+00
148 1 6.972644695266625e-01 -6.889251676511776e-05 1.000000000000000e+00 NA -0.000000000000000e+00
149 1 7.102712354772414e-01 -9.463803075959731e-05 1.000000000000000e+00 NA -0.000000000000000e+00
150 1 6.930158180633532e-01 1.326054405126342e-04 1.000000000000000e+00 NA -0.000000000000000e+00
151 1 6.981198135187132e-01 2.109488605128718e-06 1.000000000000000e+00 NA -0.000000000000000e+00
152 1 6.926727932905750e-01 3.955480383410759e-05 1.000000000000000e+00 NA -0.000000000000000e+00
153 1 6.840330850200288e-01 4.543572094917181e-05 1.000000000000000e+00 NA -0.000000000000000e+00
154 1 6.868897670782168e-01 -3.413517970329849e-05 1.000000000000000e+00 NA -0.000000000000000e+00
155 1 6.828817575359414e-01 -1.331300200035912e-05 1.000000000000000e+00 NA -0.000000000000000e+00
156 1 6.985007945747498e-01 -1.445284085548337e-04 1.000000000000000e+00 NA -0.000000000000000e+00
157 1 7.004620010123165e-01 2.294477781106252e-07 1.000000000000000e+00 NA -0.000000000000000e+00
158 1 6.783262084249326e-01 1.258779693671386e-04 1.000000000000000e+00 NA -0.000000000000000e+00
159 1 6.900141862913340e-01 -9.275986849388573e-05 1.000000000000000e+00 NA -0.000000000000000e+00
160 1 6.871677614410735e-01 3.314389141451102e-05 1.000000000000000e+00 NA -0.000000000000000e+00
161 1 6.916851377730682e-01 -5.444529506348772e-05 1.000000000000000e+00 NA -0.000000000000000e+00
162 1 6.795779222606658e-01 5.741626205235661e-05 1.000000000000000e+00 NA -0.000000000000000e+00
163 1 6.692454349327086e-01 5.169630480850174e-05 1.000000000000000e+00 NA -0.000000000000000e+00
164 1 6.794870274331375e-01 -4.848168509852258e-05 1.000000000000000e+00 NA -0.000000000000000e+00
165 1 6.971373351762581e-01 -1.131124922721938e-04 1.000000000000000e+00 NA -0.000000000000000e+00
166 1 6.995379522814461e-01 -3.765561677937512e-05 1.000000000000000e+00 NA -0.000000000000000e+00
167 1 7.024538677080190e-01 -1.571105258335592e-05 1.000000000000000e+00 NA -0.000000000000000e+00
168 1 7.002803060872430e-01 -2.215358313151228e-05 1.000000000000000e+00 NA -0.000000000000000e+00
169 1 6.999215588739088e-01 1.739988647386781e-06 1.000000000000000e+00 NA -0.000000000000000e+00
170 1 6.994730334241883e-01 1.625071126909461e-05 1.000000000000000e+00 NA -0.000000000000000e+00
171 1 7.009968284411490e-01 -1.464974502596306e-05 1.000000000000000e+00 NA -0.000000000000000e+00
172 1 7.043936161897021e-01 -2.687509231691365e-05 1.000000000000000e+00 NA -0.000000000000000e+00
173 1 6.965736306022288e-01 7.538253930761130e-05 1.000000000000000e+00 NA -0.000000000000000e+00
174 1 6.947946027262636e-01 2.998281070176745e-05 1.000000000000000e+00 NA -0.000000000000000e+00
175 1 6.946164798465464e-01 3.767570797208464e-05 1.000000000000000e+00 NA -0.000000000000000e+00
176 1 7.030927600950425e-01 -1.154978053818922e-05 1.000000000000000e+00 NA -0.000000000000000e+00
177 1 7.020808184685539e-01 -5.164719550521113e-05 1.000000000000000e+00 NA -0.000000000000000e+00
178 1 7.012935190664744e-01 1.153733001046930e-05 1.000000000000000e+00 NA -0.000000000000000e+00
179 1 6.981179226406582e-01 2.839138642229955e-05 1.000000000000000e+00 NA -0.000000000000000e+00
180 1 6.918982781820057e-01 2.994670921907527e-06 1.000000000000000e+00 NA -0.000000000000000e+00
181 1 6.793507190024247e-01 6.956490597076481e-05 1.000000000000000e+00 NA -0.000000000000000e+00
