i getaccept E*A dH rho ddH Q
87 1 9.457711687371693e-01 7.045366710372036e-04 1.000000000000000e+00 NA -0.000000000000000e+00
88 1 9.448431321017835e-01 3.517608502079383e-05 1.000000000000000e+00 NA -0.000000000000000e+00
89 1 9.446683245551550e-01 -3.350973020133097e-05 1.000000000000000e+00 NA -0.000000000000000e+00
90 1 9.433234375156063e-01 3.462606832727033e-04 1.000000000000000e+00 NA -0.000000000000000e+00
91 1 9.435418532720024e-01 4.068664929945953e-05 1.000000000000000e+00 NA -0.000000000000000e+00
92 1 9.439396720844849e-01 -2.661198964233336e-04 1.000000000000000e+00 NA -0.000000000000000e+00
93 1 9.464378638310234e-01 -8.429243275713816e-04 1.000000000000000e+00 NA -0.000000000000000e+00
94 1 9.448259430679076e-01 7.965705908645759e-04 1.000000000000000e+00 NA -0.000000000000000e+00
95 1 9.448170389251145e-01 1.035257905641629e-04 1.000000000000000e+00 NA -0.000000000000000e+00
96 1 9.438940964348863e-01 3.088248108724656e-04 1.000000000000000e+00 NA -0.000000000000000e+00
97 1 9.433212300778056e-01 2.112993711307354e-04 1.000000000000000e+00 NA -0.000000000000000e+00
98 1 9.437895058658451e-01 -1.273765965379425e-04 1.000000000000000e+00 NA -0.000000000000000e+00
99 1 9.420470674463078e-01 5.803446174468263e-05 1.000000000000000e+00 NA -0.000000000000000e+00
100 1 9.432686531274184e-01 -6.592729732801672e-05 1.000000000000000e+00 NA -0.000000000000000e+00
101 1 9.454053408531098e-01 -6.609629417653196e-04 1.000000000000000e+00 NA -0.000000000000000e+00
102 1 9.442430023873032e-01 5.043222558924754e-04 1.000000000000000e+00 NA -0.000000000000000e+00
103 1 9.449208610243850e-01 -4.184159752185224e-04 1.000000000000000e+00 NA -0.000000000000000e+00
104 1 9.460758184247703e-01 -3.424906594773347e-04 1.000000000000000e+00 NA -0.000000000000000e+00
105 1 9.443782725229817e-01 5.543271386159176e-04 1.000000000000000e+00 NA -0.000000000000000e+00
106 1 9.441240654436213e-01 3.088834464506363e-04 1.000000000000000e+00 NA -0.000000000000000e+00
107 1 9.445894567312872e-01 -4.112423043807212e-04 1.000000000000000e+00 NA -0.000000000000000e+00
108 1 9.433997627713825e-01 4.619713727151975e-04 1.000000000000000e+00 NA -0.000000000000000e+00
109 1 9.438669643053013e-01 -4.031555090477923e-05 1.000000000000000e+00 NA -0.000000000000000e+00
110 1 9.427665630060562e-01 1.474977589168702e-04 1.000000000000000e+00 NA -0.000000000000000e+00
111 1 9.437541275349111e-01 -2.446925986987480e-04 1.000000000000000e+00 NA -0.000000000000000e+00
112 1 9.437339446166322e-01 7.642424270670745e-05 1.000000000000000e+00 NA -0.000000000000000e+00
113 1 9.438370024158794e-01 1.943690863299707e-04 1.000000000000000e+00 NA -0.000000000000000e+00
114 1 9.440273451699032e-01 -1.128608573708334e-05 1.000000000000000e+00 NA -0.000000000000000e+00
115 1 9.437982010891678e-01 -3.246338123972237e-04 1.000000000000000e+00 NA -0.000000000000000e+00
116 1 9.422695211678076e-01 2.965563826364814e-04 1.000000000000000e+00 NA -0.000000000000000e+00
117 1 9.430721612851602e-01 -5.353351525627659e-05 1.000000000000000e+00 NA -0.000000000000000e+00
118 1 9.425328666499224e-01 2.089897334371926e-04 1.000000000000000e+00 NA -0.000000000000000e+00
119 1 9.403442988670135e-01 8.490130767313531e-04 1.000000000000000e+00 NA -0.000000000000000e+00
120 1 9.415688896258188e-01 -7.828772654647764e-04 1.000000000000000e+00 NA -0.000000000000000e+00
121 1 9.412433408605165e-01 2.261909021399333e-04 1.000000000000000e+00 NA -0.000000000000000e+00
122 1 9.406215728287194e-01 4.351024717834662e-04 1.000000000000000e+00 NA -0.000000000000000e+00
123 1 9.419285678633498e-01 -5.695974091395328e-04 1.000000000000000e+00 NA -0.000000000000000e+00
124 1 9.426691125807745e-01 -4.780969511557487e-04 1.000000000000000e+00 NA -0.000000000000000e+00
125 1 9.432104473901091e-01 -2.188301141359261e-05 1.000000000000000e+00 NA -0.000000000000000e+00
126 1 9.427614895253918e-01 1.300111330237996e-04 1.000000000000000e+00 NA -0.000000000000000e+00
127 1 9.431292674382246e-01 1.168839571619174e-05 1.000000000000000e+00 NA -0.000000000000000e+00
128 1 9.431523413139589e-01 -8.036071039896342e-05 1.000000000000000e+00 NA -0.000000000000000e+00
129 1 9.435077758067769e-01 -9.922718936650199e-05 1.000000000000000e+00 NA -0.000000000000000e+00
130 1 9.434577515157236e-01 8.598645035817754e-05 1.000000000000000e+00 NA -0.000000000000000e+00
131 1 9.429057302756365e-01 4.836065772906295e-05 1.000000000000000e+00 NA -0.000000000000000e+00
132 1 9.423155064302803e-01 1.404630306751642e-04 1.000000000000000e+00 NA -0.000000000000000e+00
133 1 9.439533404411555e-01 -4.556178973871283e-04 1.000000000000000e+00 NA -0.000000000000000e+00
134 1 9.429847569419844e-01 2.646573507263383e-04 1.000000000000000e+00 NA -0.000000000000000e+00
135 1 9.437265719714852e-01 -3.820559659288847e-04 1.000000000000000e+00 NA -0.000000000000000e+00
136 1 9.422077927351145e-01 3.179687555530109e-04 1.000000000000000e+00 NA -0.000000000000000e+00
137 1 9.420252327049536e-01 3.239835700696858e-04 1.000000000000000e+00 NA -0.000000000000000e+00
138 1 9.434905410426189e-01 -4.010499606010853e-04 1.000000000000000e+00 NA -0.000000000000000e+00
139 1 9.435485629395340e-01 -1.370349741591781e-04 1.000000000000000e+00 NA -0.000000000000000e+00
140 1 9.450141595029928e-01 -5.361497001103999e-04 1.000000000000000e+00 NA -0.000000000000000e+00
141 1 9.419454234133888e-01 1.083586121239932e-03 1.000000000000000e+00 NA -0.000000000000000e+00
142 1 9.425140132928311e-01 -6.550405623784172e-05 1.000000000000000e+00 NA -0.000000000000000e+00
143 1 9.437865528994226e-01 -6.547523435074254e-04 1.000000000000000e+00 NA -0.000000000000000e+00
144 1 9.460669218440492e-01 -4.978179199497390e-04 1.000000000000000e+00 NA -0.000000000000000e+00
145 1 9.445804446781729e-01 4.149441892877803e-04 1.000000000000000e+00 NA -0.000000000000000e+00
146 1 9.426690904588755e-01 6.515443847092683e-04 1.000000000000000e+00 NA -0.000000000000000e+00
147 1 9.441051979551924e-01 -4.198653759885929e-04 1.000000000000000e+00 NA -0.000000000000000e+00
148 1 9.446343952085080e-01 -3.623235124905477e-04 1.000000000000000e+00 NA -0.000000000000000e+00
149 1 9.446240145047844e-01 -1.058883067344141e-04 1.000000000000000e+00 NA -0.000000000000000e+00
150 1 9.432587413887640e-01 5.828029729855189e-04 1.000000000000000e+00 NA -0.000000000000000e+00
151 1 9.461688825096857e-01 -7.089410023581877e-04 1.000000000000000e+00 NA -0.000000000000000e+00
152 1 9.459093008104127e-01 1.490596132498467e-04 1.000000000000000e+00 NA -0.000000000000000e+00
153 1 9.451109296290645e-01 1.188724054372869e-04 1.000000000000000e+00 NA -0.000000000000000e+00
154 1 9.442906728572964e-01 3.487958783807699e-04 1.000000000000000e+00 NA -0.000000000000000e+00
155 1 9.439582254552024e-01 -6.731747816957068e-07 1.000000000000000e+00 NA -0.000000000000000e+00
156 1 9.437459361039507e-01 2.191523221881653e-04 1.000000000000000e+00 NA -0.000000000000000e+00
157 1 9.432101547364697e-01 -6.324910873445333e-05 1.000000000000000e+00 NA -0.000000000000000e+00
158 1 9.417398830672221e-01 4.974193338966870e-04 1.000000000000000e+00 NA -0.000000000000000e+00
159 1 9.436723608095159e-01 -5.659148991981056e-04 1.000000000000000e+00 NA -0.000000000000000e+00
160 1 9.425325358131178e-01 3.353456168042612e-05 1.000000000000000e+00 NA -0.000000000000000e+00
161 1 9.430781370143106e-01 1.347336046819692e-05 1.000000000000000e+00 NA -0.000000000000000e+00
162 1 9.414400770096637e-01 5.432609186755144e-04 1.000000000000000e+00 NA -0.000000000000000e+00
163 1 9.420532295595292e-01 1.451630728297459e-04 1.000000000000000e+00 NA -0.000000000000000e+00
164 1 9.416960402904812e-01 1.506180960859638e-04 1.000000000000000e+00 NA -0.000000000000000e+00
165 1 9.419616229724808e-01 -2.389231567576644e-04 1.000000000000000e+00 NA -0.000000000000000e+00
166 1 9.421047157030231e-01 -6.642910511800437e-05 1.000000000000000e+00 NA -0.000000000000000e+00
167 1 9.435110756481825e-01 -5.021524680159928e-04 1.000000000000000e+00 NA -0.000000000000000e+00
168 1 9.439190168815786e-01 -2.148330818272370e-04 1.000000000000000e+00 NA -0.000000000000000e+00
169 1 9.431791159703773e-01 5.109313692628348e-04 1.000000000000000e+00 NA -0.000000000000000e+00
170 1 9.432314171682414e-01 1.599491752131144e-04 1.000000000000000e+00 NA -0.000000000000000e+00
171 1 9.432071861674907e-01 -1.028441415655834e-04 1.000000000000000e+00 NA -0.000000000000000e+00
172 1 9.431158641793191e-01 -1.871865406428697e-04 1.000000000000000e+00 NA -0.000000000000000e+00
173 1 9.422470742930684e-01 1.320423102697532e-04 1.000000000000000e+00 NA -0.000000000000000e+00
174 1 9.422085218978242e-01 3.387438118807040e-05 1.000000000000000e+00 NA -0.000000000000000e+00
175 1 9.429631342439323e-01 -9.615673434382188e-05 1.000000000000000e+00 NA -0.000000000000000e+00
176 1 9.427680798655385e-01 1.655533810662746e-04 1.000000000000000e+00 NA -0.000000000000000e+00
177 1 9.412411112556593e-01 5.243217292445479e-04 1.000000000000000e+00 NA -0.000000000000000e+00
178 1 9.419071069397298e-01 -3.942414969060337e-04 1.000000000000000e+00 NA -0.000000000000000e+00
179 1 9.438474206967423e-01 -3.569968598640116e-04 1.000000000000000e+00 NA -0.000000000000000e+00
180 1 9.434759058025409e-01 -1.881309581222013e-04 1.000000000000000e+00 NA -0.000000000000000e+00
181 1 9.430996674616856e-01 1.840759982769669e-04 1.000000000000000e+00 NA -0.000000000000000e+00
182 1 9.437393706528385e-01 -2.122524870173947e-04 1.000000000000000e+00 NA -0.000000000000000e+00
183 1 9.442518533118280e-01 -7.472243805750622e-05 1.000000000000000e+00 NA -0.000000000000000e+00
184 1 9.441594532240238e-01 3.344175274833106e-05 1.000000000000000e+00 NA -0.000000000000000e+00
185 1 9.434040496094271e-01 2.380826658736623e-04 1.000000000000000e+00 NA -0.000000000000000e+00
186 1 9.430308566416704e-01 1.956776063707366e-04 1.000000000000000e+00 NA -0.000000000000000e+00
